dot_name,ansii_name,hid_level,hierarchy_name_id,parentid,hierarchy_name_set_id,shape_id,shape_set_id,shape_class,valid_from,valid_to,raster_notes,st_stats_sum_population
Africa:Sierra Leone:Northern:Koinadugu,KOINADUGU,5,29077,1458,1,29075,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,304269.1165
Africa:Sierra Leone:Northern:Port Loko,PORT LOKO,5,29078,1458,1,29076,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,517555.8001
Africa:Sierra Leone:Northern:Tonkolili,TONKOLILI,5,29079,1458,1,29077,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,401422.1478
Africa:Sierra Leone:Southern:Bo,BO,5,29080,1459,1,29078,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,540688.0919
Africa:Sierra Leone:Southern:Bonthe,BONTHE,5,29081,1459,1,29079,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,151348.4941
Africa:Sierra Leone:Southern:Moyamba,MOYAMBA,5,29082,1459,1,29080,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,298166.9923
Africa:Sierra Leone:Southern:Pujehun,PUJEHUN,5,29083,1459,1,29081,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,257789.491
Africa:Sierra Leone:Western:Western Rural,WESTERN RURAL,5,29084,1460,1,29082,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,423981.8095
Africa:Sierra Leone:Western:Western Urban,WESTERN URBAN,5,29085,1460,1,29083,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,686312.4237
Africa:GUINEA,GUINEA,3,251240,251099,6,1952641,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,9790809.615
Africa:SIERRA LEONE,SIERRA LEONE,3,251315,251099,6,1952713,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,5774419.514
Africa:GUINEA:BOKE,BOKE,4,251771,251240,6,1952969,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,983833.1727
Africa:GUINEA:CONAKRY,CONAKRY,4,252457,251240,6,1953898,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,1333534.484
